section,question_no,question_type,instruction,prompt,source_text,answer,explanation,marks
I. Read the passage and answer the questions that follow.,1,short_answer,Answer in one complete sentence.,What is a major requirement for national development?,"Reliable electricity supply is a major requirement for national development. In both urban and rural areas, electricity supports homes, schools, hospitals, farms, workshops, and communication services. When power is continuous and affordable, students can study at night, clinics can preserve medicine, and businesses can operate equipment efficiently. In agriculture, electric pumps may improve irrigation and reduce production losses. Electricity also supports refrigeration, lighting, information technology, and small industries. Although electricity alone cannot guarantee development, it is a necessary condition for social progress, economic growth, and improved living standards.",Reliable electricity supply is a major requirement for national development.,The first sentence states this directly.,2
I. Read the passage and answer the questions that follow.,2,short_answer,Answer in one complete sentence.,What sectors does electricity support in urban and rural areas?,"Reliable electricity supply is a major requirement for national development. In both urban and rural areas, electricity supports homes, schools, hospitals, farms, workshops, and communication services. When power is continuous and affordable, students can study at night, clinics can preserve medicine, and businesses can operate equipment efficiently. In agriculture, electric pumps may improve irrigation and reduce production losses. Electricity also supports refrigeration, lighting, information technology, and small industries. Although electricity alone cannot guarantee development, it is a necessary condition for social progress, economic growth, and improved living standards.","Electricity supports homes, schools, hospitals, farms, workshops, and communication services in urban and rural areas.",The answer lists the sectors named in the passage.,2
I. Read the passage and answer the questions that follow.,3,short_answer,Answer in one complete sentence.,Why is continuous and affordable power important for students?,"Reliable electricity supply is a major requirement for national development. In both urban and rural areas, electricity supports homes, schools, hospitals, farms, workshops, and communication services. When power is continuous and affordable, students can study at night, clinics can preserve medicine, and businesses can operate equipment efficiently. In agriculture, electric pumps may improve irrigation and reduce production losses. Electricity also supports refrigeration, lighting, information technology, and small industries. Although electricity alone cannot guarantee development, it is a necessary condition for social progress, economic growth, and improved living standards.",Continuous and affordable power is important for students because it allows them to study at night.,This is stated in the passage.,2
I. Read the passage and answer the questions that follow.,4,short_answer,Answer in one complete sentence.,How does electricity help clinics?,"Reliable electricity supply is a major requirement for national development. In both urban and rural areas, electricity supports homes, schools, hospitals, farms, workshops, and communication services. When power is continuous and affordable, students can study at night, clinics can preserve medicine, and businesses can operate equipment efficiently. In agriculture, electric pumps may improve irrigation and reduce production losses. Electricity also supports refrigeration, lighting, information technology, and small industries. Although electricity alone cannot guarantee development, it is a necessary condition for social progress, economic growth, and improved living standards.",Electricity helps clinics by preserving medicine.,The passage mentions that clinics can preserve medicine.,2
I. Read the passage and answer the questions that follow.,5,short_answer,Answer in one complete sentence.,How can businesses benefit from electricity?,"Reliable electricity supply is a major requirement for national development. In both urban and rural areas, electricity supports homes, schools, hospitals, farms, workshops, and communication services. When power is continuous and affordable, students can study at night, clinics can preserve medicine, and businesses can operate equipment efficiently. In agriculture, electric pumps may improve irrigation and reduce production losses. Electricity also supports refrigeration, lighting, information technology, and small industries. Although electricity alone cannot guarantee development, it is a necessary condition for social progress, economic growth, and improved living standards.",Businesses can benefit from electricity because they can operate equipment efficiently.,The answer comes from the sentence about businesses.,2
I. Read the passage and answer the questions that follow.,6,short_answer,Answer in one complete sentence.,What is the role of electricity in agriculture?,"Reliable electricity supply is a major requirement for national development. In both urban and rural areas, electricity supports homes, schools, hospitals, farms, workshops, and communication services. When power is continuous and affordable, students can study at night, clinics can preserve medicine, and businesses can operate equipment efficiently. In agriculture, electric pumps may improve irrigation and reduce production losses. Electricity also supports refrigeration, lighting, information technology, and small industries. Although electricity alone cannot guarantee development, it is a necessary condition for social progress, economic growth, and improved living standards.","In agriculture, electricity may improve irrigation and reduce production losses.",The passage explains this clearly.,2
I. Read the passage and answer the questions that follow.,7,short_answer,Answer in one complete sentence.,Name two services supported by electricity besides irrigation.,"Reliable electricity supply is a major requirement for national development. In both urban and rural areas, electricity supports homes, schools, hospitals, farms, workshops, and communication services. When power is continuous and affordable, students can study at night, clinics can preserve medicine, and businesses can operate equipment efficiently. In agriculture, electric pumps may improve irrigation and reduce production losses. Electricity also supports refrigeration, lighting, information technology, and small industries. Although electricity alone cannot guarantee development, it is a necessary condition for social progress, economic growth, and improved living standards.","Besides irrigation, electricity supports refrigeration and lighting.",Any two correct services from the passage are acceptable.,2
I. Read the passage and answer the questions that follow.,8,short_answer,Answer in one complete sentence.,Why is electricity important for small industries?,"Reliable electricity supply is a major requirement for national development. In both urban and rural areas, electricity supports homes, schools, hospitals, farms, workshops, and communication services. When power is continuous and affordable, students can study at night, clinics can preserve medicine, and businesses can operate equipment efficiently. In agriculture, electric pumps may improve irrigation and reduce production losses. Electricity also supports refrigeration, lighting, information technology, and small industries. Although electricity alone cannot guarantee development, it is a necessary condition for social progress, economic growth, and improved living standards.","Electricity is important for small industries because it supports equipment, lighting, and efficient production.",This is inferred from the passage's discussion of business and industry support.,2
I. Read the passage and answer the questions that follow.,9,short_answer,Answer in one complete sentence.,Is electricity alone enough to guarantee development?,"Reliable electricity supply is a major requirement for national development. In both urban and rural areas, electricity supports homes, schools, hospitals, farms, workshops, and communication services. When power is continuous and affordable, students can study at night, clinics can preserve medicine, and businesses can operate equipment efficiently. In agriculture, electric pumps may improve irrigation and reduce production losses. Electricity also supports refrigeration, lighting, information technology, and small industries. Although electricity alone cannot guarantee development, it is a necessary condition for social progress, economic growth, and improved living standards.","No, electricity alone is not enough to guarantee development.",The passage says it cannot guarantee development by itself.,2
I. Read the passage and answer the questions that follow.,10,short_answer,Answer in one complete sentence.,What does the passage say electricity is necessary for?,"Reliable electricity supply is a major requirement for national development. In both urban and rural areas, electricity supports homes, schools, hospitals, farms, workshops, and communication services. When power is continuous and affordable, students can study at night, clinics can preserve medicine, and businesses can operate equipment efficiently. In agriculture, electric pumps may improve irrigation and reduce production losses. Electricity also supports refrigeration, lighting, information technology, and small industries. Although electricity alone cannot guarantee development, it is a necessary condition for social progress, economic growth, and improved living standards.","The passage says electricity is necessary for social progress, economic growth, and improved living standards.",This comes from the final sentence.,2
