section,question_no,question_type,question_prompt,source_text,correct_answer,explanation,example,marks
reading,1,short_answer,What is energy described as in economic growth?,"Electricity and other energy services are major factors in economic and social development. Energy is a key productive asset in economic growth, together with machinery, land, natural resources, and human capital. Access to clean and reliable electricity improves household welfare and creates income-generating opportunities. Affordable electricity allows homes, farms, workshops, schools, and clinics to use lighting, refrigeration, computers, pumps, and machinery more effectively. In rural areas, sustainable electricity can reduce post-harvest losses, support irrigation, improve healthcare, and strengthen education. A village clinic with reliable power can store vaccines and use diagnostic equipment. A school with electricity can provide evening study, digital learning, and better classroom conditions. Although electricity alone is not sufficient for development, it remains a necessary condition for economic and social progress.",Energy is described as a key productive asset in economic growth.,The first two sentences state this directly.,Answer in a complete sentence.,2.0
reading,2,short_answer,How does reliable electricity improve household welfare?,"Electricity and other energy services are major factors in economic and social development. Energy is a key productive asset in economic growth, together with machinery, land, natural resources, and human capital. Access to clean and reliable electricity improves household welfare and creates income-generating opportunities. Affordable electricity allows homes, farms, workshops, schools, and clinics to use lighting, refrigeration, computers, pumps, and machinery more effectively. In rural areas, sustainable electricity can reduce post-harvest losses, support irrigation, improve healthcare, and strengthen education. A village clinic with reliable power can store vaccines and use diagnostic equipment. A school with electricity can provide evening study, digital learning, and better classroom conditions. Although electricity alone is not sufficient for development, it remains a necessary condition for economic and social progress.","Reliable electricity improves household welfare by supporting lighting, refrigeration, computers, pumps, and machinery more effectively.",The passage lists practical uses that make daily life and work easier.,Answer in a complete sentence.,2.0
reading,3,short_answer,Why is affordable electricity important?,"Electricity and other energy services are major factors in economic and social development. Energy is a key productive asset in economic growth, together with machinery, land, natural resources, and human capital. Access to clean and reliable electricity improves household welfare and creates income-generating opportunities. Affordable electricity allows homes, farms, workshops, schools, and clinics to use lighting, refrigeration, computers, pumps, and machinery more effectively. In rural areas, sustainable electricity can reduce post-harvest losses, support irrigation, improve healthcare, and strengthen education. A village clinic with reliable power can store vaccines and use diagnostic equipment. A school with electricity can provide evening study, digital learning, and better classroom conditions. Although electricity alone is not sufficient for development, it remains a necessary condition for economic and social progress.",Affordable electricity is important because it allows consumers to use electricity services without excessive financial burden.,"The idea of affordability is linked to actual use, not only connection.",Answer in a complete sentence.,2.0
reading,4,short_answer,How can electricity help farms in rural areas?,"Electricity and other energy services are major factors in economic and social development. Energy is a key productive asset in economic growth, together with machinery, land, natural resources, and human capital. Access to clean and reliable electricity improves household welfare and creates income-generating opportunities. Affordable electricity allows homes, farms, workshops, schools, and clinics to use lighting, refrigeration, computers, pumps, and machinery more effectively. In rural areas, sustainable electricity can reduce post-harvest losses, support irrigation, improve healthcare, and strengthen education. A village clinic with reliable power can store vaccines and use diagnostic equipment. A school with electricity can provide evening study, digital learning, and better classroom conditions. Although electricity alone is not sufficient for development, it remains a necessary condition for economic and social progress.",Electricity can help farms in rural areas by supporting irrigation and reducing post-harvest losses.,The passage connects electricity with productive rural activities.,Answer in a complete sentence.,2.0
reading,5,short_answer,Why is electricity important for village clinics?,"Electricity and other energy services are major factors in economic and social development. Energy is a key productive asset in economic growth, together with machinery, land, natural resources, and human capital. Access to clean and reliable electricity improves household welfare and creates income-generating opportunities. Affordable electricity allows homes, farms, workshops, schools, and clinics to use lighting, refrigeration, computers, pumps, and machinery more effectively. In rural areas, sustainable electricity can reduce post-harvest losses, support irrigation, improve healthcare, and strengthen education. A village clinic with reliable power can store vaccines and use diagnostic equipment. A school with electricity can provide evening study, digital learning, and better classroom conditions. Although electricity alone is not sufficient for development, it remains a necessary condition for economic and social progress.",Electricity is important for village clinics because it allows them to store vaccines and use diagnostic equipment.,This answer comes directly from the clinic example.,Answer in a complete sentence.,2.0
reading,6,short_answer,How does electricity support education?,"Electricity and other energy services are major factors in economic and social development. Energy is a key productive asset in economic growth, together with machinery, land, natural resources, and human capital. Access to clean and reliable electricity improves household welfare and creates income-generating opportunities. Affordable electricity allows homes, farms, workshops, schools, and clinics to use lighting, refrigeration, computers, pumps, and machinery more effectively. In rural areas, sustainable electricity can reduce post-harvest losses, support irrigation, improve healthcare, and strengthen education. A village clinic with reliable power can store vaccines and use diagnostic equipment. A school with electricity can provide evening study, digital learning, and better classroom conditions. Although electricity alone is not sufficient for development, it remains a necessary condition for economic and social progress.","Electricity supports education by making evening study, digital learning, and better classroom conditions possible.",The school example provides these details.,Answer in a complete sentence.,2.0
reading,7,short_answer,Is electricity alone sufficient for development?,"Electricity and other energy services are major factors in economic and social development. Energy is a key productive asset in economic growth, together with machinery, land, natural resources, and human capital. Access to clean and reliable electricity improves household welfare and creates income-generating opportunities. Affordable electricity allows homes, farms, workshops, schools, and clinics to use lighting, refrigeration, computers, pumps, and machinery more effectively. In rural areas, sustainable electricity can reduce post-harvest losses, support irrigation, improve healthcare, and strengthen education. A village clinic with reliable power can store vaccines and use diagnostic equipment. A school with electricity can provide evening study, digital learning, and better classroom conditions. Although electricity alone is not sufficient for development, it remains a necessary condition for economic and social progress.","No, electricity alone is not sufficient for development, but it is a necessary condition for progress.",The concluding sentence gives the exact contrast.,Answer in a complete sentence.,2.0
fill_blank,1,fill_blank,"The electricity planning problem in many developing ____ is more complicated than in developed countries. The challenge is not only to substitute investment cost reductions in electricity use for ____ in power plants, ____ also to obtain financing for electricity-related investment. Power development is difficult ____ electric power industries are among the ____ capital-intensive in an economy, draining scarce ____ resources. And, for countries lacking energy resources, ____ oil and other fuels is also a major drain ____ foreign exchange reserves.","countries, but, investments, importing, because, most, financial, in",countries,countries fits the phrase “developing countries.”,Blank 1 uses countries.,1.25
fill_blank,2,fill_blank,"The electricity planning problem in many developing ____ is more complicated than in developed countries. The challenge is not only to substitute investment cost reductions in electricity use for ____ in power plants, ____ also to obtain financing for electricity-related investment. Power development is difficult ____ electric power industries are among the ____ capital-intensive in an economy, draining scarce ____ resources. And, for countries lacking energy resources, ____ oil and other fuels is also a major drain ____ foreign exchange reserves.","countries, but, investments, importing, because, most, financial, in",investments,investments is needed after “for” to match the economic meaning.,Blank 2 uses investments.,1.25
fill_blank,3,fill_blank,"The electricity planning problem in many developing ____ is more complicated than in developed countries. The challenge is not only to substitute investment cost reductions in electricity use for ____ in power plants, ____ also to obtain financing for electricity-related investment. Power development is difficult ____ electric power industries are among the ____ capital-intensive in an economy, draining scarce ____ resources. And, for countries lacking energy resources, ____ oil and other fuels is also a major drain ____ foreign exchange reserves.","countries, but, investments, importing, because, most, financial, in",but,but completes the structure “not only ... but also ...”.,Blank 3 uses but.,1.25
